Metric,Step,Value
test_mse_170200090208,0,0.003681493690237403
test_mse_170200090208,5,0.005862562917172909
test_mse_170200090208,9,0.004100174177438021
test_mse_170200090208,9,0.004100174177438021
test_kge_170200090208,0,0.9251229271765
test_kge_170200090208,5,0.8152734916796586
test_kge_170200090208,9,0.9098291813750711
test_kge_170200090208,9,0.9098291813750711
test_r2_170200090208,0,0.9074446558952332
test_r2_170200090208,5,0.8526110053062439
test_r2_170200090208,9,0.8969187140464783
test_r2_170200090208,9,0.8969187140464783
test_mae_170200090208,0,0.039490051567554474
test_mae_170200090208,5,0.05081275478005409
test_mae_170200090208,9,0.0389263741672039
test_mae_170200090208,9,0.0389263741672039
test_recur_mse_170200090208,0,0.008114151656627655
test_recur_mse_170200090208,5,0.004104127641767263
test_recur_mse_170200090208,9,0.004353845026344061
test_recur_mse_170200090208,9,0.004353845026344061
test_recur_kge_170200090208,0,0.8024715994781968
test_recur_kge_170200090208,5,0.923012159879991
test_recur_kge_170200090208,9,0.9091208063942313
test_recur_kge_170200090208,9,0.9091208063942313
test_recur_r2_170200090208,0,0.7960045337677002
test_recur_r2_170200090208,5,0.8968193531036377
test_recur_r2_170200090208,9,0.8905412554740906
test_recur_r2_170200090208,9,0.8905412554740906
test_recur_mae_170200090208,0,0.06116732209920883
test_recur_mae_170200090208,5,0.03985205665230751
test_recur_mae_170200090208,9,0.038982488214969635
test_recur_mae_170200090208,9,0.038982488214969635
train_mse_170200090208,0,0.0031287530437111855
train_mse_170200090208,5,0.001459371647797525
train_mse_170200090208,9,0.0014572989894077182
train_kge_170200090208,0,0.9430976615479808
train_kge_170200090208,5,0.961795285376525
train_kge_170200090208,9,0.9331071790308696
train_r2_170200090208,0,0.9196454286575317
train_r2_170200090208,5,0.9625195264816284
train_r2_170200090208,9,0.9625727534294128
train_mae_170200090208,0,0.035370416939258575
train_mae_170200090208,5,0.023470940068364143
train_mae_170200090208,9,0.02283567003905773
train_mse_170200090304,0,0.00011562246800167486
train_mse_170200090304,5,0.0001135689890361391
train_mse_170200090304,9,9.612138092052191e-05
train_kge_170200090304,0,0.9382289107035073
train_kge_170200090304,5,0.9568044054736896
train_kge_170200090304,9,0.9826630819997373
train_r2_170200090304,0,0.9639511108398438
train_r2_170200090304,5,0.9645913243293762
train_r2_170200090304,9,0.970031201839447
test_mse_170200090209,0,0.0022547387052327394
test_mse_170200090209,5,0.004051556345075369
test_mse_170200090209,9,0.003989149816334248
test_mse_170200090209,9,0.003989149816334248
test_kge_170200090209,0,0.9303512784747058
test_kge_170200090209,5,0.8802043162301301
test_kge_170200090209,9,0.8854139622552887
