Metric,Step,Value
1711000508_test_mse,0,0.01009293645620346
1711000505_test_mse,0,0.0057569933123886585
1711000504_test_kge,0,0.9388823919210325
1711000505_test_kge,0,0.9550740609869187
1711000511_train_mse,0,0.00012089591473340988
1711000507_test_mse,0,0.01834818162024021
1711000507_train_mse,0,0.0005388836143538356
1711000504_test_mse,0,0.005408458411693573
1711000504_train_kge,0,0.9852520428345745
1711000507_test_kge,0,0.8104590162576535
1711000508_test_kge,0,0.9007188497055202
1711000511_test_mse,0,0.003877876792103052
1711000506_train_mse,0,0.0008939413819462061
1711000511_train_kge,0,0.9890757744520565
1711000511_test_kge,0,0.8484269077025433
1711000507_train_kge,0,0.9888781380869103
1711000508_train_mse,0,0.0003119675675407052
1711000505_train_kge,0,0.970156043667427
1711000508_train_kge,0,0.988234700595943
1711000504_train_mse,0,0.001151523320004344
1711000509_train_mse,0,0.0004471653955988586
1711000509_test_mse,0,0.01021432876586914
1711000505_train_mse,0,0.0008700346224941313
1711000506_train_kge,0,0.989833502182413
1711000509_train_kge,0,0.9424873234191816
1711000506_test_kge,0,0.7594024828741779
1711000509_test_kge,0,0.7950272232438419
1711000506_test_mse,0,0.025918375700712204
