Metric,Step,Value
1711000509_test_mse,0,0.017496487125754356
1711000509_train_mse,0,5.285111183184199e-05
1711000511_test_mse,0,0.008030012249946594
1711000509_train_kge,0,0.9909165373610094
1711000509_test_kge,0,0.4883941647628096
1711000504_train_mse,0,0.0004588555311784148
1711000505_test_kge,0,0.45060139013950173
1711000504_test_mse,0,0.016509762033820152
1711000506_train_kge,0,0.9732109069116178
1711000504_train_kge,0,0.9842354104418584
1711000504_test_kge,0,0.3874948254041708
1711000506_train_mse,0,0.00019253981008660048
1711000511_train_kge,0,0.986083734592643
1711000511_test_kge,0,0.5133599986163337
1711000507_test_kge,0,0.5431972832114667
1711000505_train_mse,0,0.00015185291704256088
1711000506_test_mse,0,0.01252281479537487
1711000507_train_kge,0,0.9868601178145142
1711000505_test_mse,0,0.018236340954899788
1711000505_train_kge,0,0.9922229137041968
1711000506_test_kge,0,0.4431741071208234
1711000507_test_mse,0,0.01728993095457554
1711000507_train_mse,0,7.288761844392866e-05
1711000511_train_mse,0,5.675071952282451e-05
1711000508_train_mse,0,8.602216257713735e-05
1711000508_train_kge,0,0.989170437643505
1711000508_test_mse,0,0.02134334109723568
1711000508_test_kge,0,0.48856207962694087
