Metric,Step,Value
train_kge_171100060303,0,-500.0
train_kge_171100090101,0,-500.0
test_kge_171100060101,0,0.6908958173200359
train_mse_170602070305,0,-500.0
test_mse_170103040201,0,0.0022562590893357992
test_mse_170602080102,0,0.0019877315498888493
test_kge_171100050903,0,0.8778399644591396
train_kge_171100050606,0,-500.0
train_kge_170602080608,0,-500.0
train_mse_171100051006,0,-500.0
test_kge_170602080604,0,0.9138204253950692
train_mse_170602070306,0,-500.0
train_kge_170200110111,0,-500.0
train_mse_170200090304,0,-500.0
test_mse_171100050706,0,0.012054095976054668
train_mse_171100060303,0,-500.0
test_mse_170602070903,0,0.0035133471246808767
test_mse_170602070305,0,0.0004266312753316015
test_kge_170602070403,0,0.6376809858323588
test_kge_170602080608,0,0.8039513241895714
train_kge_170602080407,0,-500.0
train_kge_170602080604,0,-500.0
train_kge_170602070903,0,-500.0
train_kge_170103040804,0,-500.0
train_mse_170103040105,0,-500.0
train_kge_170602080203,0,-500.0
test_mse_170602080403,0,0.005262183956801891
test_kge_170602080102,0,0.9340461666418969
train_mse_170602070403,0,-500.0
test_mse_170200110111,0,0.0024492740631103516
train_mse_170200110305,0,-500.0
test_mse_170103040502,0,0.0016866131918504834
test_kge_170103040502,0,0.8358749855459627
train_kge_170200090304,0,-500.0
train_kge_171100050706,0,-500.0
test_kge_171100060303,0,0.758542805929549
test_kge_170200090110,0,0.7437301768721636
train_kge_170602080102,0,-500.0
train_mse_171100090402,0,-500.0
train_mse_171100050602,0,-500.0
train_kge_170602080403,0,-500.0
train_kge_171100090402,0,-500.0
test_kge_170200090304,0,0.9386720949099654
test_mse_170103040105,0,0.001274029491469264
train_kge_170200110201,0,-500.0
test_mse_170602070306,0,0.0031012571416795254
train_kge_171100090501,0,-500.0
test_kge_170200110702,0,0.815104321263768
test_mse_170200110109,0,0.005851731635630131
test_mse_171100060303,0,0.0035390870179980993
test_kge_170602070305,0,0.9591816506404772
test_kge_170200110111,0,0.6589371798273667
test_kge_171100090402,0,0.7147135421453952
train_mse_170602070502,0,-500.0
train_kge_170602070306,0,-500.0
train_mse_171100051005,0,-500.0
train_kge_170200110702,0,-500.0
test_mse_170602080106,0,0.004226602613925934
train_kge_170200110305,0,-500.0
train_mse_170602080608,0,-500.0
test_mse_170602080407,0,0.0008065614965744317
train_mse_170602080102,0,-500.0
train_kge_170602070601,0,-500.0
test_kge_171100060106,0,0.9477272756172082
train_kge_170602080106,0,-500.0
test_kge_171100090101,0,0.5862147592313258
test_kge_170602080403,0,0.6795445329984391
train_mse_171100050606,0,-500.0
test_mse_170200090204,0,0.010457438416779041
test_mse_170602080608,0,0.0006498974398709834
test_mse_171100051006,0,0.007624953053891659
test_kge_170602080407,0,0.9387016889397888
train_mse_170602070303,0,-500.0
test_kge_170602070903,0,0.7494423143818042
test_kge_170103040804,0,0.6184155442596934
train_mse_171100090101,0,-500.0
train_mse_171100060101,0,-500.0
train_kge_171100051005,0,-500.0
test_kge_170602070601,0,0.8248617041780028
test_mse_170602070403,0,0.0054368008859455585
test_kge_170200090204,0,0.6760438062051161
train_mse_170103040502,0,-500.0
train_kge_170103040502,0,-500.0
train_kge_171100060104,0,-500.0
test_mse_170602070303,0,0.002795999404042959
test_kge_170602070306,0,0.41575769257608164
train_mse_170602080403,0,-500.0
train_kge_170602070305,0,-500.0
test_kge_170103040201,0,0.7774426029772761
test_mse_171100060106,0,0.0016734797973185778
