Metric,Step,Value
test_kge_170602070902,0,0.8262161582305281
test_kge_170602070902,1,0.8760164202898755
test_kge_170602070902,2,0.02982770654958966
test_kge_170602070902,3,0.14100393414387413
test_kge_170602070902,4,0.9440368684701275
test_kge_170602070902,5,0.9207894083737758
test_kge_170602070902,6,0.796816721990292
test_kge_170602070902,7,0.8344919003895985
test_kge_170602070902,8,0.3263500915100501
test_kge_170602070902,9,0.2617538455907804
test_kge_170602070902,10,0.8962061801142212
test_kge_170602070902,11,0.642532660050273
test_kge_170602070902,12,0.5777502029400811
test_kge_170602070902,13,0.4808663642370875
test_kge_170602070902,14,0.6043028774179249
test_kge_170602070902,15,0.46746004606720404
test_kge_170602070902,16,0.8543154946463921
test_kge_170602070902,17,0.8550304889448516
test_kge_170602070902,18,0.8827473473837584
test_kge_170602070902,19,0.8464302106530422
test_kge_170602070902,20,0.7095671984244325
test_kge_170602070902,21,0.6902353693138039
test_kge_170602070902,22,0.7485602788175942
test_kge_170602070902,23,0.4876428437827637
test_kge_170602070902,24,0.07048918252318381
test_kge_170602070902,25,0.06834849383251829
test_kge_170602070902,26,0.3058405983413922
test_kge_170602070902,27,0.9146374490597802
test_kge_170602070902,28,0.4875566948233583
test_kge_170602070902,29,0.7466454395274046
test_mse_170602080412,0,0.0016404405469074845
test_mse_170602080412,1,0.001880194409750402
test_mse_170602080412,2,0.004990010056644678
test_mse_170602080412,3,0.002049000933766365
test_mse_170602080412,4,0.0023062049876898527
test_mse_170602080412,5,0.001118856598623097
test_mse_170602080412,6,0.0008410742739215493
test_mse_170602080412,7,0.0008671414107084274
test_mse_170602080412,8,0.0013146655401214957
test_mse_170602080412,9,0.00178295630030334
test_mse_170602080412,10,0.0015076161362230778
test_mse_170602080412,11,0.0007526406552642584
test_mse_170602080412,12,0.000982759171165526
test_mse_170602080412,13,0.0007011786219663918
test_mse_170602080412,14,0.0007658576942048967
test_mse_170602080412,15,0.0007238627877086401
test_mse_170602080412,16,0.0010129449656233191
test_mse_170602080412,17,0.0007906750543043017
test_mse_170602080412,18,0.0012222668156027794
test_mse_170602080412,19,0.0005771612050011754
test_mse_170602080412,20,0.0007671657367609441
test_mse_170602080412,21,0.001292601926252246
test_mse_170602080412,22,0.0012291137827560306
test_mse_170602080412,23,0.001250032801181078
test_mse_170602080412,24,0.005442931316792965
test_mse_170602080412,25,0.0029478236101567745
test_mse_170602080412,26,0.0009521557949483395
test_mse_170602080412,27,0.0008897149236872792
test_mse_170602080412,28,0.0005728946416638792
test_mse_170602080412,29,0.0006894596153870225
test_mse_171100050603,0,0.009479084052145481
test_mse_171100050603,1,0.007390047423541546
test_mse_171100050603,2,0.041826844215393066
test_mse_171100050603,3,0.0036503917071968317
test_mse_171100050603,4,0.0073788342997431755
test_mse_171100050603,5,0.00999136921018362
test_mse_171100050603,6,0.008499134331941605
test_mse_171100050603,7,0.010105862282216549
test_mse_171100050603,8,0.010907313786447048
test_mse_171100050603,9,0.006611573975533247
test_mse_171100050603,10,0.00993073545396328
test_mse_171100050603,11,0.006365494336932898
test_mse_171100050603,12,0.01084352470934391
test_mse_171100050603,13,0.003817893099039793
test_mse_171100050603,14,0.005898475646972656
test_mse_171100050603,15,0.005291827954351902
test_mse_171100050603,16,0.004466101992875338
test_mse_171100050603,17,0.005024630110710859
test_mse_171100050603,18,0.01194915734231472
test_mse_171100050603,19,0.0047454615123569965
test_mse_171100050603,20,0.0071499403566122055
test_mse_171100050603,21,0.0201497133821249
test_mse_171100050603,22,0.002744416007772088
test_mse_171100050603,23,0.006103598978370428
test_mse_171100050603,24,0.011079525575041771
test_mse_171100050603,25,0.006170930340886116
test_mse_171100050603,26,0.005773909855633974
test_mse_171100050603,27,0.004521419759839773
test_mse_171100050603,28,0.004373182076960802
test_mse_171100050603,29,0.005788914859294891
test_kge_171100050402,0,0.3940536956129824
test_kge_171100050402,1,0.5033694619903567
test_kge_171100050402,2,0.8606947344436108
test_kge_171100050402,3,0.7988059425554666
test_kge_171100050402,4,0.5177905973256312
test_kge_171100050402,5,0.513018855144723
test_kge_171100050402,6,0.5869246832860726
test_kge_171100050402,7,0.5867129717597999
test_kge_171100050402,8,0.7820173821067398
test_kge_171100050402,9,0.9210720047754352
test_kge_171100050402,10,0.608697053838918
test_kge_171100050402,11,0.7446225542738882
test_kge_171100050402,12,0.9335568061198968
test_kge_171100050402,13,0.8133729809060715
test_kge_171100050402,14,0.7967988382507498
test_kge_171100050402,15,0.799678419056598
test_kge_171100050402,16,0.6360082979050579
test_kge_171100050402,17,0.690932948162402
