Metric,Step,Value
train_mse_170300030104,0,0.0001369794481433928
train_mse_170300030104,1,8.890374010661617e-05
train_mse_170300030104,2,8.334885205840692e-05
train_mse_170300030104,3,7.96065287431702e-05
train_mse_170300030104,4,7.447105599567294e-05
train_mse_170300030104,5,0.00011150191130582243
train_mse_170300030104,6,7.724152965238318e-05
train_mse_170300030104,7,6.835770182078704e-05
train_mse_170300030104,8,7.047719554975629e-05
train_mse_170300030104,9,7.604184793308377e-05
test_mse_170300030104,0,7.323922181967646e-05
test_mse_170300030104,1,8.397547935601324e-05
test_mse_170300030104,2,7.747189374640584e-05
test_mse_170300030104,3,7.656868547201157e-05
test_mse_170300030104,4,7.723421003902331e-05
test_mse_170300030104,5,9.101018804358318e-05
test_mse_170300030104,6,8.343611261807382e-05
test_mse_170300030104,7,7.39089009584859e-05
test_mse_170300030104,8,7.687704783165827e-05
test_mse_170300030104,9,8.925340080168098e-05
train_kge_170300030104,0,0.7896878297621438
train_kge_170300030104,1,0.9215878802704239
train_kge_170300030104,2,0.8520442501180057
train_kge_170300030104,3,0.8414491327641022
train_kge_170300030104,4,0.8726451216957698
train_kge_170300030104,5,0.5961682992154378
train_kge_170300030104,6,0.7904637291155034
train_kge_170300030104,7,0.8839807533642281
train_kge_170300030104,8,0.84361166336234
train_kge_170300030104,9,0.7771992219094853
train_mse_170300030103,0,0.00046040816232562065
train_mse_170300030103,1,0.0006310140015557408
train_mse_170300030103,2,0.00038735312409698963
train_mse_170300030103,3,0.0003420343273319304
train_mse_170300030103,4,0.00034269996103830636
train_mse_170300030103,5,0.0003960889589507133
train_mse_170300030103,6,0.0004042428336106241
train_mse_170300030103,7,0.00038121920078992844
train_mse_170300030103,8,0.0011162636801600456
train_mse_170300030103,9,0.00041394971776753664
test_mse_170300030103,0,0.0008835752378217876
test_mse_170300030103,1,0.001038114307448268
test_mse_170300030103,2,0.000706812075804919
test_mse_170300030103,3,0.000676643627230078
test_mse_170300030103,4,0.0007586976862512529
test_mse_170300030103,5,0.000848985742777586
test_mse_170300030103,6,0.0009389049373567104
test_mse_170300030103,7,0.0009171487763524055
test_mse_170300030103,8,0.0016006231307983398
test_mse_170300030103,9,0.0009482661262154579
train_kge_170300030103,0,0.8977186901908231
train_kge_170300030103,1,0.8038122880376689
train_kge_170300030103,2,0.9424999240443506
train_kge_170300030103,3,0.9750120114274996
train_kge_170300030103,4,0.9667195876645887
train_kge_170300030103,5,0.968990393691499
train_kge_170300030103,6,0.9468509514696813
train_kge_170300030103,7,0.9652071991331529
train_kge_170300030103,8,0.6630656496616221
train_kge_170300030103,9,0.9313830596032899
test_kge_170300030103,0,0.8027878014915175
test_kge_170300030103,1,0.7193483271997121
test_kge_170300030103,2,0.8747392021079312
test_kge_170300030103,3,0.8987776329694495
test_kge_170300030103,4,0.908742989152136
test_kge_170300030103,5,0.8842175096307276
test_kge_170300030103,6,0.893539826071698
test_kge_170300030103,7,0.841109143731634
test_kge_170300030103,8,0.5675360359221837
test_kge_170300030103,9,0.9120472255901636
test_kge_170300030104,0,0.913673920404578
test_kge_170300030104,1,0.8839204144892352
test_kge_170300030104,2,0.803705482561756
test_kge_170300030104,3,0.8141419388454152
test_kge_170300030104,4,0.8163866338476088
test_kge_170300030104,5,0.5638578306847716
test_kge_170300030104,6,0.7261585380432266
test_kge_170300030104,7,0.8153347182488351
