Metric,Step,Value
train_mse_170602070202,0,0.00015666263061575592
train_mse_170602070202,1,0.00013404259516391903
train_mse_170602070202,2,0.0001511729060439393
train_mse_170602070202,3,0.0001071619481081143
train_mse_170602070202,4,9.760355169419199e-05
train_mse_170602070202,5,8.699734462425113e-05
train_mse_170602070202,6,8.902047557057813e-05
train_mse_170602070202,7,7.774674304528162e-05
train_mse_170602070202,8,0.00011734136933228001
train_mse_170602070202,9,9.062137542059645e-05
test_kge_170602070203,0,0.9557915042139482
test_kge_170602070203,1,0.9652076133808849
test_kge_170602070203,2,0.9745537267024585
test_kge_170602070203,3,0.9642137041229404
test_kge_170602070203,4,0.9396988732702675
test_kge_170602070203,5,0.9780895933380742
test_kge_170602070203,6,0.9503979625200145
test_kge_170602070203,7,0.9700815580866909
test_kge_170602070203,8,0.9738859489976291
test_kge_170602070203,9,0.9631526373710461
test_kge_170602070303,0,0.9517715247810655
test_kge_170602070303,1,0.9702526475606194
test_kge_170602070303,2,0.97542265309788
test_kge_170602070303,3,0.9571933117453347
test_kge_170602070303,4,0.9479449873389093
test_kge_170602070303,5,0.9670085556798809
test_kge_170602070303,6,0.9717004391543909
test_kge_170602070303,7,0.9609712233441259
test_kge_170602070303,8,0.8722800290500915
test_kge_170602070303,9,0.9385358486625749
train_mse_170602070305,0,0.00024277066404465586
train_mse_170602070305,1,0.00021440167620312423
train_mse_170602070305,2,0.00022617254580836743
train_mse_170602070305,3,0.0002405168052064255
train_mse_170602070305,4,0.00022958568297326565
train_mse_170602070305,5,0.00022224227723199874
train_mse_170602070305,6,0.000236532257986255
train_mse_170602070305,7,0.00022438190353568643
train_mse_170602070305,8,0.0002505360753275454
train_mse_170602070305,9,0.00020784937078133225
test_mse_170602070306,0,0.00039647036464884877
test_mse_170602070306,1,0.0004226469900459051
test_mse_170602070306,2,0.000420765281887725
test_mse_170602070306,3,0.00040541516500525177
test_mse_170602070306,4,0.00042966092587448657
test_mse_170602070306,5,0.0004304058093111962
test_mse_170602070306,6,0.00043448052019812167
test_mse_170602070306,7,0.00043910721433348954
test_mse_170602070306,8,0.0004294061800464988
test_mse_170602070306,9,0.000439528317656368
train_kge_170602070401,0,0.9338622848716673
