Metric,Step,Value
1711000508_test_mse,0,0.007731027901172638
1711000508_train_kge,0,0.9462615102755982
1711000508_test_kge,0,0.9536346202801687
1711000509_train_mse,0,0.003935393411666155
1711000509_test_mse,0,0.01959446631371975
1711000509_train_kge,0,0.8324087195566097
1711000509_test_kge,0,0.6337601874137078
1711000511_train_mse,0,0.00029118338716216385
1711000511_test_mse,0,0.004329575691372156
1711000511_train_kge,0,0.9679864940197412
1711000511_test_kge,0,0.8337445881181854
1711000504_train_mse,0,0.0870867446064949
1711000504_test_mse,0,0.0821467712521553
1711000504_train_kge,0,-0.04439017140620827
1711000504_test_kge,0,0.027896381188107666
1711000505_train_mse,0,0.012717179954051971
1711000505_test_mse,0,0.00863146223127842
1711000505_train_kge,0,0.8855451642045272
1711000505_test_kge,0,0.9220062434984079
1711000506_train_mse,0,0.0035990725737065077
1711000506_test_mse,0,0.01429553609341383
1711000506_train_kge,0,0.9672552022227183
1711000506_test_kge,0,0.8258056671385092
1711000507_train_mse,0,0.0020474514458328485
1711000507_test_mse,0,0.014229129999876022
1711000507_train_kge,0,0.9734887361645999
1711000507_test_kge,0,0.8167785059010835
1711000508_train_mse,0,0.0010720138670876622
