Metric,Step,Value
test_kge_171100050707,0,0.43475560169200467
test_kge_171100050707,1,0.4170994517866109
test_kge_171100050707,2,0.5775679201844592
test_kge_171100050707,3,0.667884798796547
test_kge_171100050707,4,0.5357509287882569
test_kge_171100050707,5,0.6730772396599751
test_kge_171100050707,6,0.6388693751149508
test_kge_171100050707,7,0.5165561000917442
test_kge_171100050707,8,0.7225331730855892
test_kge_171100050707,9,0.6653526708261919
test_mse_171100050902,0,0.04897128418087959
test_mse_171100050902,1,0.045599497854709625
test_mse_171100050902,2,0.023825878277420998
test_mse_171100050902,3,0.01578429341316223
test_mse_171100050902,4,0.034011684358119965
test_mse_171100050902,5,0.016252631321549416
test_mse_171100050902,6,0.01400095783174038
test_mse_171100050902,7,0.04043450951576233
test_mse_171100050902,8,0.017607251182198524
test_mse_171100050902,9,0.01959133706986904
train_kge_171100051004,0,0.5869417338035243
train_kge_171100051004,1,0.633064958382306
train_kge_171100051004,2,0.5783469335230992
train_kge_171100051004,3,0.8076460157486882
train_kge_171100051004,4,0.7416275879602015
train_kge_171100051004,5,0.864295817013907
train_kge_171100051004,6,0.8228795271250962
train_kge_171100051004,7,0.7191435834641944
train_kge_171100051004,8,0.8058792601396283
train_kge_171100051004,9,0.9353818555785353
test_kge_171100051104,0,0.4074446067134845
test_kge_171100051104,1,0.23760635151821052
test_kge_171100051104,2,0.5311211581775795
test_kge_171100051104,3,0.5324814749888305
test_kge_171100051104,4,0.4423237917835192
test_kge_171100051104,5,0.5829038563463037
test_kge_171100051104,6,0.517579069377507
test_kge_171100051104,7,0.504936529126238
test_kge_171100051104,8,0.5723055353468107
test_kge_171100051104,9,0.6539314618596025
train_mse_171100050707,0,0.06562686711549759
train_mse_171100050707,1,0.042748209089040756
train_mse_171100050707,2,0.03550412878394127
train_mse_171100050707,3,0.038077183067798615
train_mse_171100050707,4,0.026996374130249023
train_mse_171100050707,5,0.02762066386640072
train_mse_171100050707,6,0.024550771340727806
train_mse_171100050707,7,0.023397643119096756
train_mse_171100050707,8,0.02077004685997963
train_mse_171100050707,9,0.01871081069111824
test_kge_171100050902,0,0.4559049209883683
test_kge_171100050902,1,0.41208028622389536
test_kge_171100050902,2,0.8041665925951125
test_kge_171100050902,3,0.8040255104377247
test_kge_171100050902,4,0.48465701028482666
test_kge_171100050902,5,0.7444231116616629
test_kge_171100050902,6,0.8088959471668888
test_kge_171100050902,7,0.4467300553348239
test_kge_171100050902,8,0.7061658768986399
test_kge_171100050902,9,0.6809295829464493
test_kge_171100051004,0,0.2051162653997174
test_kge_171100051004,1,0.2774959242145759
test_kge_171100051004,2,0.24735847064998695
test_kge_171100051004,3,0.47738956618031536
test_kge_171100051004,4,0.6213192226867446
test_kge_171100051004,5,0.5071424756873626
test_kge_171100051004,6,0.4372465358083468
test_kge_171100051004,7,0.2822374989251486
test_kge_171100051004,8,0.46003721095425
test_kge_171100051004,9,0.6135654312053718
train_mse_171100051104,0,0.00045939988922327757
train_mse_171100051104,1,0.00030003779102116823
train_mse_171100051104,2,0.00014288332022260875
train_mse_171100051104,3,0.00011694643762893975
train_mse_171100051104,4,0.00018677108164411038
train_mse_171100051104,5,9.187994146486744e-05
train_mse_171100051104,6,0.0001263963640667498
train_mse_171100051104,7,0.00010598539665807039
train_mse_171100051104,8,8.66787668201141e-05
train_mse_171100051104,9,7.19638483133167e-05
train_kge_171100050708,0,0.7731939310470575
train_kge_171100050708,1,0.7868177987109382
train_kge_171100050708,2,0.831429758081473
train_kge_171100050708,3,0.706512495817103
train_kge_171100050708,4,0.6106534399742891
train_kge_171100050708,5,0.8511004652815406
train_kge_171100050708,6,0.9212981671540641
train_kge_171100050708,7,0.8475708859506912
train_kge_171100050708,8,0.7539958335730257
train_kge_171100050708,9,0.9313125940178982
train_mse_171100050903,0,0.017650699242949486
train_mse_171100050903,1,0.014755446463823318
train_mse_171100050903,2,0.010504034347832203
train_mse_171100050903,3,0.009294179268181324
train_mse_171100050903,4,0.00897835474461317
train_mse_171100050903,5,0.006269608158618212
