Metric,Step,Value
1711000508_test_mse,0,0.0100929364562034
1711000505_test_mse,0,0.0057569933123886
1711000504_test_kge,0,0.9388823919210324
1711000505_test_kge,0,0.9550740609869188
1711000511_train_mse,0,0.0001208959147334
1711000507_test_mse,0,0.0183481816202402
1711000507_train_mse,0,0.0005388836143538
1711000504_test_mse,0,0.0054084584116935
1711000504_train_kge,0,0.9852520428345743
1711000507_test_kge,0,0.8104590162576535
1711000508_test_kge,0,0.9007188497055202
1711000511_test_mse,0,0.003877876792103
1711000506_train_mse,0,0.0008939413819462
1711000511_train_kge,0,0.9890757744520564
1711000511_test_kge,0,0.8484269077025433
1711000507_train_kge,0,0.9888781380869104
1711000508_train_mse,0,0.0003119675675407
1711000505_train_kge,0,0.970156043667427
1711000508_train_kge,0,0.988234700595943
1711000504_train_mse,0,0.0011515233200043
1711000509_train_mse,0,0.0004471653955988
1711000509_test_mse,0,0.0102143287658691
1711000505_train_mse,0,0.0008700346224941
1711000506_train_kge,0,0.989833502182413
1711000509_train_kge,0,0.9424873234191816
1711000506_test_kge,0,0.7594024828741779
1711000509_test_kge,0,0.7950272232438419
1711000506_test_mse,0,0.0259183757007122
