,huc_id,Predominant_Snow
0,170103020101,Montane Forest
1,170103020102,Montane Forest
2,170103020103,Montane Forest
3,170103020201,Montane Forest
4,170103020202,Montane Forest
5,170103020301,Montane Forest
6,170103020302,Montane Forest
7,170103020303,Montane Forest
8,170103040101,Montane Forest
9,170103040102,Montane Forest
10,170103040103,Montane Forest
11,170103040104,Montane Forest
12,170103040105,Montane Forest
13,170103040201,Montane Forest
14,170103040202,Montane Forest
15,170103040203,Montane Forest
16,170103040301,Montane Forest
17,170103040302,Montane Forest
18,170103040303,Montane Forest
19,170103040304,Montane Forest
20,170103040305,Montane Forest
21,170103040306,Montane Forest
22,170103040307,Montane Forest
23,170103040308,Montane Forest
24,170103040401,Montane Forest
25,170103040402,Montane Forest
26,170103040501,Montane Forest
27,170103040502,Montane Forest
28,170103040503,Montane Forest
29,170103040504,Montane Forest
30,170103040505,Montane Forest
31,170103040601,Montane Forest
32,170103040602,Montane Forest
33,170103040603,Montane Forest
34,170103040604,Montane Forest
35,170103040605,Ephemeral
36,170103040606,Montane Forest
37,170103040607,Prairie
38,170103040608,Ephemeral
39,170103040609,Ephemeral
40,170103040701,Montane Forest
41,170103040702,Montane Forest
42,170103040703,Montane Forest
43,170103040801,Montane Forest
44,170103040802,Ephemeral
45,170103040803,Montane Forest
46,170103040804,Montane Forest
47,170103040805,Ephemeral
48,170103040901,Montane Forest
49,170103040902,Ephemeral
50,170103040903,Ephemeral
51,170103041001,Ephemeral
52,170103041002,Ephemeral
53,170103041003,Ephemeral
54,170103041004,Ephemeral
55,170103041005,Ephemeral
56,170103041101,Ephemeral
57,170103041102,Ephemeral
58,170103041103,Ephemeral
59,170103041104,Ephemeral
60,170200090101,Maritime
61,170200090102,Maritime
62,170200090103,Maritime
63,170200090104,Maritime
64,170200090105,Maritime
65,170200090106,Maritime
66,170200090107,Maritime
67,170200090108,Maritime
68,170200090109,Maritime
69,170200090110,Maritime
70,170200090111,Maritime
71,170200090112,Maritime
72,170200090113,Maritime
73,170200090114,Maritime
74,170200090201,Maritime
